"reviewer","comment_id","comment_type","revision_package","main_manuscript_location","main_paragraph_excerpt_included","main_figure_included","main_table_excerpt_included","main_equation_included","supplement_location","supplement_paragraph_excerpt_included","supplement_figure_included","supplement_table_excerpt_included","local_references_included","scope_boundary_included","needs_manual_line_number","evidence_package_status","visible_scope_boundary_heading","response_word_count","response_expansion_status","revisions_made_style","nomenclature_updated","manuscript_modified","manual_review_priority","heading_term","evidence_wording_cleaned","nomenclature_cross_reference_removed","table1_symbol_column_removed","response_naturalized","r2_expanded","r2_supporting_material_enriched","r2_response_tone","contents_link_color","r1_10_reference_status","r1_15_broader_audience_status","doi_style","reference_display_cleaned","raw_cite_removed_from_response","implementation_tracking_sentence_removed","planning_scope_explained","closing_heading","closing_new_page","new_applied_energy_reference_added","doi_resolution_status"
"Reviewer 1","R1-1","abstract_significance","Manuscript reframing and abstract rewrite","Abstract; Introduction; Conclusions","true","false","false","false","None","false","false","false","false","false","true","complete","false","209","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-2","readability_symbols","Nomenclature, figures, units, and readability","Nomenclature; Table 1; Section 2.1","true","false","true","false","SI S1.3; Table S2","true","false","false","false","false","true","complete","false","174","expanded","action_specific","true","true","high","supporting_material","true","true","true","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-3","figure_caption","Code, data, figures, units, abbreviations, and readability","Section 2; Fig. 1","true","true","false","false","None","false","false","false","false","false","true","complete","false","211","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-4","context_references","Manuscript reframing and abstract rewrite","Sections 1.1, 1.2, 2.2, 2.6","true","false","false","false","SI S1; SI S5.3","true","false","false","true","true","true","complete","false","232","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-5","descriptor_selection","Sampling and descriptor-space coverage","Section 2.1; Table 1","true","false","true","false","SI S1.2-S1.5; Table S2; Fig. S1","true","true","true","false","true","true","complete","false","160","expanded","action_specific","false","true","medium","supporting_material","true","false","true","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-6","table_roles","Code, data, figures, units, abbreviations, and readability","Tables 1 and 2; Sections 2.1-2.2","false","false","true","false","None","false","false","false","false","false","true","complete","false","151","expanded","action_specific","false","true","medium","supporting_material","true","false","true","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-7","method_validation","Surrogate robustness assessment and physical stress-test boundary","Sections 2.2, 2.3, 2.6, 3.5, 4.2; Tables 3 and 6; Fig. 9","true","true","true","false","SI S1; SI S2; SI S5; Table S4","true","false","true","false","true","true","complete","false","245","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-8","cross_validation","Surrogate robustness assessment","Section 2.3; Table 3; Fig. 5","true","true","true","false","SI S2.2-S2.5","true","false","false","false","true","true","complete","false","157","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-9","framework_structure","Manuscript reframing and workflow clarification","Methodology opening; Fig. 1; Table 2; Section 2.6","true","true","true","false","None","false","false","false","false","true","true","complete","false","146","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-10","rl_reference","DDPG formulation and reward correction","Sections 1.2 and 2.4; Fig. 3","true","false","false","true","None","false","false","false","true","true","true","complete","false","174","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","true","true","false","false","Closing Remark","true","true","resolved"
